Date,Open,High,Low,Close,Adj Close,Volume
2016-04-27,135.369995,136.279999,134.759995,135.750000,122.163506,3488100
2016-04-28,134.809998,135.440002,132.490005,132.729996,119.445747,5553600
2016-04-29,132.710007,134.300003,131.750000,133.889999,120.489639,4610100
2016-05-02,134.369995,136.250000,134.309998,136.050003,122.433472,4284400
2016-05-03,135.449997,135.839996,134.039993,134.539993,121.074608,3408700
2016-05-04,133.589996,135.399994,133.130005,135.160004,121.632561,3192100
2016-05-05,134.869995,135.369995,133.750000,134.669998,121.191582,3474900
2016-05-06,134.479996,135.809998,134.309998,135.699997,122.118515,3356800
2016-05-09,135.589996,136.470001,135.240005,136.240005,122.604469,3552300
2016-05-10,136.320007,137.820007,136.300003,137.509995,123.747360,3662800
2016-05-11,136.800003,137.050003,134.039993,134.300003,120.858612,6058400
2016-05-12,135.000000,135.000000,133.100006,134.190002,120.759636,5355600
2016-05-13,133.809998,135.330002,133.029999,133.130005,119.805733,5295800
2016-05-16,133.839996,136.550003,133.080002,135.339996,121.794540,8394800
2016-05-17,133.149994,134.490005,131.100006,132.000000,118.788841,15989600
2016-05-18,131.029999,132.770004,130.020004,131.770004,118.581825,8258900
2016-05-19,131.449997,132.130005,130.779999,131.729996,118.545845,4577200
2016-05-20,131.889999,133.059998,131.750000,131.850006,118.653831,5089800
2016-05-23,131.839996,132.479996,131.300003,131.419998,118.266861,3854500
2016-05-24,132.179993,133.869995,132.050003,133.360001,120.012711,5181500
2016-05-25,133.460007,134.520004,133.050003,133.199997,119.868736,5017500
2016-05-26,133.130005,134.360001,132.860001,134.050003,120.633652,3996800
2016-05-27,134.070007,134.899994,133.380005,133.940002,120.534668,4025300
2016-05-31,133.570007,133.800003,131.720001,132.119995,119.512489,6366900
2016-06-01,132.119995,132.119995,131.149994,131.830002,119.250175,4744300
2016-06-02,131.850006,132.699997,131.330002,132.410004,119.774826,3858500
2016-06-03,132.529999,132.729996,130.919998,131.740005,119.168739,4155900
2016-06-06,130.820007,130.869995,128.470001,129.190002,116.862091,8051700
2016-06-07,129.380005,130.800003,129.320007,129.919998,117.522423,4434000
2016-06-08,130.009995,130.289993,129.250000,129.589996,117.223900,3742400
2016-06-09,129.270004,129.839996,129.039993,129.300003,116.961586,3450500
